,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_cell,rfm_score
0,0000024994,3,9,910000.0,3,1,1,311,5
1,KH6166700,0,4043,490635000.0,3,3,3,333,9
2,0001137446,30,6,975000.0,1,1,1,111,3
3,0001139169,30,3,825000.0,1,1,1,111,3
4,KH7065502,30,2,450000.0,1,1,1,111,3
5,0001013721,11,4,710000.0,2,1,1,211,4
6,0001119439,8,3,1155000.0,3,1,1,311,5
7,0000028219,17,3,615000.0,2,1,1,211,4
8,0001192761,30,1,150000.0,1,1,1,111,3
9,0001135674,15,4,480000.0,2,1,1,211,4
10,0001138624,30,1,150000.0,1,1,1,111,3
11,0001004958,1,4,465000.0,3,1,1,311,5
12,0001013279,16,3,330000.0,2,1,1,211,4
13,KH7657550,5,2,240000.0,3,1,1,311,5
14,0000020146,30,1,150000.0,1,1,1,111,3
15,0001136750,30,1,150000.0,1,1,1,111,3
16,0001011339,29,1,90000.0,1,1,1,111,3
17,0001137618,13,3,315000.0,2,1,1,211,4
18,0001079679,8,2,180000.0,3,1,1,311,5
19,0000029127,0,2854,330290000.0,3,3,3,333,9
20,0000021040,0,4,360000.0,3,1,1,311,5
21,0003008667,29,1,90000.0,1,1,1,111,3
22,0001167084,29,1,90000.0,1,1,1,111,3
23,0000014172,29,1,135000.0,1,1,1,111,3
24,0001068108,6,3,270000.0,3,1,1,311,5
25,0001122540,0,4,360000.0,3,1,1,311,5
26,KH7890071,26,11,1065000.0,1,1,1,111,3
27,0001136135,1,2,180000.0,3,1,1,311,5
28,0000012056,11,5,450000.0,2,1,1,211,4
29,0001023632,29,1,135000.0,1,1,1,111,3
30,0000041164,29,1,90000.0,1,1,1,111,3
31,0001160497,18,4,450000.0,2,1,1,211,4
32,0001007144,29,1,90000.0,1,1,1,111,3
33,KH2012305,11,2,405000.0,2,1,1,211,4
34,0000025864,29,1,90000.0,1,1,1,111,3
35,0001163494,29,1,180000.0,1,1,1,111,3
36,0000012555,8,3,360000.0,3,1,1,311,5
37,0000027778,21,2,360000.0,1,1,1,111,3
38,0003008082,6,2,225000.0,3,1,1,311,5
39,0000022001,29,1,90000.0,1,1,1,111,3
40,0001169210,29,1,90000.0,1,1,1,111,3
41,0000040022,18,2,90000.0,2,1,1,211,4
42,0001137655,29,2,360000.0,1,1,1,111,3
43,KH5807099,29,1,90000.0,1,1,1,111,3
44,0001080652,29,1,90000.0,1,1,1,111,3
45,0001168570,29,1,90000.0,1,1,1,111,3
46,KH1070391,29,1,90000.0,1,1,1,111,3
47,0005008092,12,2,180000.0,2,1,1,211,4
48,0000027726,29,1,90000.0,1,1,1,111,3
49,0000027757,29,1,90000.0,1,1,1,111,3
50,0001138211,2,3,270000.0,3,1,1,311,5
51,0001122387,1,3,405000.0,3,1,1,311,5
52,0001165388,20,3,315000.0,2,1,1,211,4
53,0000023346,29,1,90000.0,1,1,1,111,3
54,0001083229,29,1,90000.0,1,1,1,111,3
55,0001161619,29,1,180000.0,1,1,1,111,3
56,0000029529,7,3,270000.0,3,1,1,311,5
57,0001120042,29,1,90000.0,1,1,1,111,3
58,KH9135409,17,2,90000.0,2,1,1,211,4
59,0001028929,24,4,360000.0,1,1,1,111,3
60,KH7452364,29,1,90000.0,1,1,1,111,3
61,0001135617,29,1,90000.0,1,1,1,111,3
62,0001186481,25,2,135000.0,1,1,1,111,3
63,0001120029,29,1,45000.0,1,1,1,111,3
64,0001135567,29,1,180000.0,1,1,1,111,3
65,0001106006,29,1,225000.0,1,1,1,111,3
66,0001077123,12,2,270000.0,2,1,1,211,4
67,0003008688,15,2,180000.0,2,1,1,211,4
