comment,time,rating,sentiment
"Phục vụ kém, nhân viên hẹn tuần sau đến xem có thể áp dụng chương trình nhưng lặn lội xa đến, đợi 1 tuần mua đồ ăn hết để xem lại nói không được áp dụng chương trình. Đã không chắc thì đừng hẹn khách làm mất hứng mất tgian tốn công sức :))",2 tháng trước,1 sao,không hài lòng
"Rạp chiếu phim ngay bên trong khu vui chơi Helio, có thiết kế đẹp và đặc sắc.
Phục vụ nhanh nhẹn, nhiệt tình.
Danh mục chiếu các phim tương tự như CGV.",7 tháng trước,4 sao,hài lòng
"- Nằm 1 bên khu công viên Châu Á.
- Rộng rãi, thoáng, decor đẹp.
- Mình xem rạp nhỏ với số ghế ít. Giá 55.000VND 1 vé, nếu ghế đôi thì 120.000VND …",một năm trước,5 sao,hài lòng
"Trải nghiệm cực kì tệ từ thái độ nhân viên đến bắp nước. Nhân viên làm khó khách hàng cho dù lặn lội từ xa, thời tiết mưa gió đến rạp xem mà nhân viên tiếp đón cực kì tệ (ko chào khách, vẻ mặt bất cần) và nhất quyết ko cho khách vào rạp mặc …",một tháng trước,1 sao,không hài lòng
"Vé bán ghi HD mà chất lượng hình ảnh quá tệ như SD. Phòng thì nóng, chất lượng âm thanh quá tệ. Chưa bao giờ đi coi phim rạp mà chất lượng còn thua tivi, máy tính",3 tuần trước,1 sao,không hài lòng
Rạp phim sạch sẽ . Chiếu đúng giờ chất lượng hình ảnh tốt . chỉ có bất tiện là nhà vệ sinh ở khu khác nên bất tiện . Nhân viên hơi chậm trong việc tư vấn khách,9 tháng trước,4 sao,hài lòng
"nhân viên nhiệt tình, hướng dẫn nhiệt tình, có cơ hội sẽ đến lần haii",2 tháng trước,5 sao,hài lòng
"Rạp có chất lượng tốt từ dịch vụ đến cơ sở hạ tầng, nằm bên cạnh khu vực Helio sầm uất. Nhân viên vui vẻ nhiệt tình với khách hàng, Khách hàng cần tư vấn gì đều được giải đáp và có quầy Guess Service chăm sóc khách hàng rất tốt.Rạp phim đáng xem nên thử 1 lần.",một tháng trước,5 sao,hài lòng
Rạp chiếu film nơi đây rất ok. Ghế ngồi cũng thoải mái. Không cần mất quá nhiều thời gian để di chuyển từ bãi đỗ xe để vào đến rạp,11 tháng trước,5 sao,hài lòng
"Nhân viên nhiệt tình pv tốt. Vé rẻ
Nhưnggg mùa đông ngồi trong rạp cởi hếtt áo khoac rồi vẫn nóng ghê gớm, đổ cả mồ hôi …",2 tháng trước,3 sao,trung bình
"Ngày lễ mình chở 2 bé con đi xem phim, trước đó mình có mua 1 chai nước lọc và vẫn chưa mở ra. Tới giờ soát vé mình vào xem thì các bạn không cho mình mang chai nước vào với lí do không cho mang thức ăn, nước uống bên ngoài vào rạp nên mình …",4 tháng trước,1 sao,không hài lòng
"Đi xem phim kh đem theo CMND bị nv đuổi về,quá tệ",một tuần trước,1 sao,không hài lòng
"Rạp màn hình lớn, âm thanh trung thực, rạp mới hơn so với những rạp khác ở Đà Nẵng. Không gian chờ rất rộng và đẹp. Đặc biệt bắp phô mai ở đây ngon hơn những rạp khác. Nhược điểm duy nhất theo mình là nhà vệ sinh hơi xa rạp, nên lúc đang …",4 năm trước,5 sao,hài lòng
"Rạp nằm ngay tầng 1 gửi xe phát vào coi luôn. Nhân viên dễ thương, lễ phép. Đi coi phim khá là có không khí điện ảnh :))",2 tháng trước,5 sao,hài lòng
"Xem film cũng nhiều lần ở đây rồi, chỗ ngồi thoải mái, lâu lâu có các bạn tuổi genZ hơi hiếu động nên nói hơi khó chịu một chút, với mình xem thì view hàng G, H, I là vừa tầm nhìn",4 tháng trước,4 sao,hài lòng
"Nhân viên nhiệt tình, dễ thương, hướng dẫn khách tận tình.

Phòng chiếu bật điều hòa và có mùi điều hòa mà mình ghét cái mùi này, cảm giác …",một năm trước,4 sao,hài lòng
"- Không gian check in tạm ổn
- Giá vé : KHÔNG xứng đáng với chất lượng rạp và Service.
- Phòng chiếu : …",5 năm trước,3 sao,trung bình
không gian rộng rãi thoã mái  tuần nào tôi cũng dẫn lũ trẻ vào đây chơi.,3 tuần trước,5 sao,hài lòng
"Mang phong cách hoài niệm
Tâng 1 có khu vui choi",2 tuần trước,5 sao,hài lòng
Rạp quy mô lớn. Có khu vui chơi giải trí  giàn cho mọi lứa tuổi.,7 tháng trước,5 sao,hài lòng
"Rạp metiz dễ tìm đường, thiết kế đẹp nhưng ghế ngồi trọng rạp phim bị mỏi cổ dù ngồi ghế xa vẫn bị.
Được cái nhiều góc chụp hình, gần helio nên cũm okie",5 tháng trước,5 sao,hài lòng
"Rạp được thiết kế quá đẹp, đúng chất Hội An, mình chưa dịp trải nghiệm phòng chiếu nhưng sẽ quay lại!",3 năm trước,5 sao,hài lòng
Thất vọng về chất lượng dịch vụ và chất lượng nhân viên. Nhân viên thái độ với khách,một tháng trước,1 sao,không hài lòng
"Không gian rộng rãi, thiết kế đẹp, nằm ở vị trí đắc địa rất dễ tìm đường. Giá cả dễ chịu hơn so với các hệ thống khác mà chất lượng lại tốt hơn, nhất là về âm thanh. Nhân viên hơi hiền, đôi khi có KH làm ồn trong rạp nhưng ít bị nhắc nhở",2 năm trước,5 sao,hài lòng
Mấy anh chị ở đây vô cùng dễ thương luôn ý... rạp sạch sẽ âm thanh và hình ảnh cũng khá ổn đặc biệt bắp ... bắp rất ngon ... em yêu bắp ♥️,3 năm trước,5 sao,hài lòng
"Rạp Metiz Cinema nằm ở Helio Center, được xây dựng với tiêu chuẩn rạp Hollywood, chuẩn âm thanh Dolby 7.1, màn hình lớn, sắc nét. Metiz Cinema với 5 phòng chiếu phim, đã mang đến 1 địa điểm giải trí mới cho Đà Nẵng, cùng thiết kế hiện đại - trẻ trung và mức giá vé ưu đãi.",2 năm trước,4 sao,hài lòng
"Rạp chiếu phim khá xịn, bắp bơ khá thơm, vé cũng không rẻ",7 tháng trước,5 sao,hài lòng
"rạp chiếu phim Metiz là một trong những rạp chiếu phim Đà Nẵng mình yêu thích nhất. Ở đây lịch chiếu phim rạp Metiz Đà Nẵng cập nhật rất nhanh chóng, đặt vé online cũng cực kỳ dễ dàng, phòng chiếu phim màn hình lớn sắc nét, âm thanh chất …",một năm trước,5 sao,hài lòng
"Rạp tốt, các hàng ghế cao nên ko bị vướng đầu người ngồi trước và cách xa nhau nên để chân thoải mái",5 năm trước,5 sao,hài lòng
"Rạp lịch sự, ngồi thoải mái. Có điều không vừa ý là, đến trước 5 phút cũng không cho vào rạp, bên ngoài thì không đủ chỗ ngồi đợi.",2 năm trước,4 sao,hài lòng
"Giá vé tốt, âm thanh hình ảnh ok",3 tuần trước,5 sao,hài lòng
Giá rẽ cho sinh viên,5 tháng trước,5 sao,hài lòng
Tuyệt vời. Có điều màm hình to. Mà ghế lại sát. Dù ngồi hàng gần trên cùng. Nhưng vẫn thấy loạn :3,5 năm trước,5 sao,hài lòng
Ghế ở rạp phim quá đau lưng  cong về phía trước. Ngồi k thoải mái 1 chút nào.,6 tháng trước,2 sao,không hài lòng
Thứ 2 có 45k/tk đông như hội. Rạp chất lượng tầm trung. Nên đến xem vào t2( đến sớm mua vé),7 tháng trước,5 sao,hài lòng
"Lần đầu được bạn rủ đi xem Hai Phượng, rạp mới nên khá ổn, đông đúc, nhìn cái hình dưới thấy đẹp đó chứ. Tiếc là k chụp nhiều hơn. OK đó, ở đà nẵng có khi đẹp hơn Vincom. Thêm lựa chọn để xem phim cuối tuần. Lúc đó bạn nó mua vé nên không biết giá bao nhiêu. Gái trẻ nhiều lắm ^^",4 năm trước,4 sao,hài lòng
"Khu vui chơi ăn uống rạp phim, quá okkk cho cuối tuần",11 tháng trước,5 sao,hài lòng
"Nằm trong khu vui chơi Helio, chỉ cần gửi xe dưới tầng hầm là đi lên tầng 2 trung tâm để vào khu vực Metiz. Không gian thoáng, âm thanh hay, giá hợp túi tiền.",7 tháng trước,5 sao,hài lòng
Giá rẻ ainh viên. Xem phim xong qua helio chơi game và ghé holie tắm nhà phao trược. Tối lại đi bộ qua sunwell tản bộ.,8 tháng trước,5 sao,hài lòng
"Rạp phim đẹp, giá cả ok. Nhân viên thân thiện",4 năm trước,5 sao,hài lòng
"Rạp lớn, màn hình rộng, xem rất đã, tuy nhiên hàng ghế đôi có phần không được thoải mái như 1 số cụm rạp có ghế đôi khác.",8 tháng trước,4 sao,hài lòng
Dịch vụ và giá vé ổn nhưng điểm trừ là chỗ đỗ xe rất bất tiện sau khi ra về thì mình phải tự dắt 3 4 xe thì mới dắt xe mình ra được,8 tháng trước,4 sao,hài lòng
